NO,구분,주요 변경 필드,v44 정보,v45 정보,상세 변경 내용
107,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1000]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G0900]","CON4: [>700,<=900] -> [>=550,<=700] | VAL1: [10311684G1000] -> [10311684G0900]"
108,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1100]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1000]","CON4: [>900,<=1250] -> [>700,<=900] | VAL1: [10311684G1100] -> [10311684G1000]"
109,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1200]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1100]","CON4: [>1250,<=1500] -> [>900,<=1250] | VAL1: [10311684G1200] -> [10311684G1100]"
110,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, SPEC7, CON7, KEY1, VAL1, REMARKS",,"REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1200]","SPEC1: [] -> [EL_ATYP] | CON1: [] -> [GTLX_E] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [GH15SA] | SPEC3: [] -> [EL_ERPW] | CON3: [] -> [3] | SPEC4: [] -> [EL_EPP] | CON4: [] -> [>1250,<=1500] | SPEC5: [] -> [EL_DREUSE] | CON5: [] -> [N] | SPEC6: [] -> [EL_ECWTP] | CON6: [] -> [!R] | SPEC7: [] -> [EL_EMFD] | CON7: [] -> [SL] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [10311684G1200] | REMARKS: [] -> [신규 후락/신규 횡락(LH)]"
111,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, SPEC7, CON7, KEY1, VAL1, REMARKS","REMARKS:신규 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G1300]",,"SPEC1: [EL_ATYP] -> [] | CON1: [GTLX_E] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [GH15SA] -> [] | SPEC3: [EL_ERPW] -> [] | CON3: [3] -> [] | SPEC4: [EL_EPP] -> [] | CON4: [>=550,<=700] -> [] | SPEC5: [EL_DREUSE] -> [] | CON5: [N] -> [] | SPEC6: [EL_ECWTP] -> [] | CON6: [!R] -> [] | SPEC7: [EL_EMFD] -> [] | CON7: [SR] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10311684G1300] -> [] | REMARKS: [신규 횡락(RH)] -> []"
112,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G1400]","REMARKS:신규 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G1300]","CON4: [>700,<=900] -> [>=550,<=700] | VAL1: [10311684G1400] -> [10311684G1300]"
113,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G1500]","REMARKS:신규 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G1400]","CON4: [>900,<=1250] -> [>700,<=900] | VAL1: [10311684G1500] -> [10311684G1400]"
114,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G1600]","REMARKS:신규 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G1500]","CON4: [>1250,<=1500] -> [>900,<=1250] | VAL1: [10311684G1600] -> [10311684G1500]"
115,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, SPEC7, CON7, KEY1, VAL1, REMARKS",,"REMARKS:신규 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G1600]","SPEC1: [] -> [EL_ATYP] | CON1: [] -> [GTLX_E] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [GH15SA] | SPEC3: [] -> [EL_ERPW] | CON3: [] -> [3] | SPEC4: [] -> [EL_EPP] | CON4: [] -> [>1250,<=1500] | SPEC5: [] -> [EL_DREUSE] | CON5: [] -> [N] | SPEC6: [] -> [EL_ECWTP] | CON6: [] -> [!R] | SPEC7: [] -> [EL_EMFD] | CON7: [] -> [SR] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [10311684G1600] | REMARKS: [] -> [신규 횡락(RH)]"
116,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, KEY1, VAL1, REMARKS","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1700]",,"SPEC1: [EL_ATYP] -> [] | CON1: [GTLX_E] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [GH15SA] -> [] | SPEC3: [EL_ERPW] -> [] | CON3: [3] -> [] | SPEC4: [EL_EPP] -> [] | CON4: [>=550,<=700] -> [] | SPEC5: [EL_DREUSE] -> [] | CON5: [Y] -> [] | SPEC6: [EL_ECWTP] -> [] | CON6: [R] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10311684G1700] -> [] | REMARKS: [교체 후락/교체 횡락(LH)] -> []"
117,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1800]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1700]","CON4: [>700,<=900] -> [>=550,<=700] | VAL1: [10311684G1800] -> [10311684G1700]"
118,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1900]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1800]","CON4: [>900,<=1250] -> [>700,<=900] | VAL1: [10311684G1900] -> [10311684G1800]"
119,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G2000]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1900]","CON4: [>1250,<=1500] -> [>900,<=1250] | VAL1: [10311684G2000] -> [10311684G1900]"
120,수정(MODIFIED),"CON4, CON6, SPEC7, CON7, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1700]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G2000]","CON4: [>=550,<=700] -> [>1250,<=1500] | CON6: [!R] -> [R] | SPEC7: [EL_EMFD] -> [] | CON7: [90] -> [] | VAL1: [10311684G1700] -> [10311684G2000]"
121,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1800]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1700]","CON4: [>700,<=900] -> [>=550,<=700] | VAL1: [10311684G1800] -> [10311684G1700]"
122,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1900]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1800]","CON4: [>900,<=1250] -> [>700,<=900] | VAL1: [10311684G1900] -> [10311684G1800]"
123,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G2000]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1900]","CON4: [>1250,<=1500] -> [>900,<=1250] | VAL1: [10311684G2000] -> [10311684G1900]"
124,수정(MODIFIED),"CON4, CON7, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1700]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G2000]","CON4: [>=550,<=700] -> [>1250,<=1500] | CON7: [SL] -> [90] | VAL1: [10311684G1700] -> [10311684G2000]"
125,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1800]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1700]","CON4: [>700,<=900] -> [>=550,<=700] | VAL1: [10311684G1800] -> [10311684G1700]"
126,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1900]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1800]","CON4: [>900,<=1250] -> [>700,<=900] | VAL1: [10311684G1900] -> [10311684G1800]"
127,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G2000]","REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G1900]","CON4: [>1250,<=1500] -> [>900,<=1250] | VAL1: [10311684G2000] -> [10311684G1900]"
128,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, SPEC7, CON7, KEY1, VAL1, REMARKS",,"REMARKS:교체 후락/교체 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G2000]","SPEC1: [] -> [EL_ATYP] | CON1: [] -> [GTLX_E] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [GH15SA] | SPEC3: [] -> [EL_ERPW] | CON3: [] -> [3] | SPEC4: [] -> [EL_EPP] | CON4: [] -> [>1250,<=1500] | SPEC5: [] -> [EL_DREUSE] | CON5: [] -> [Y] | SPEC6: [] -> [EL_ECWTP] | CON6: [] -> [!R] | SPEC7: [] -> [EL_EMFD] | CON7: [] -> [SL] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [10311684G2000] | REMARKS: [] -> [교체 후락/교체 횡락(LH)]"
129,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, SPEC7, CON7, KEY1, VAL1, REMARKS","REMARKS:교체 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G2100]",,"SPEC1: [EL_ATYP] -> [] | CON1: [GTLX_E] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [GH15SA] -> [] | SPEC3: [EL_ERPW] -> [] | CON3: [3] -> [] | SPEC4: [EL_EPP] -> [] | CON4: [>=550,<=700] -> [] | SPEC5: [EL_DREUSE] -> [] | CON5: [Y] -> [] | SPEC6: [EL_ECWTP] -> [] | CON6: [!R] -> [] | SPEC7: [EL_EMFD] -> [] | CON7: [SR] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10311684G2100] -> [] | REMARKS: [교체 횡락(RH)] -> []"
130,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G2200]","REMARKS:교체 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G2100]","CON4: [>700,<=900] -> [>=550,<=700] | VAL1: [10311684G2200] -> [10311684G2100]"
131,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G2300]","REMARKS:교체 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G2200]","CON4: [>900,<=1250] -> [>700,<=900] | VAL1: [10311684G2300] -> [10311684G2200]"
132,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G2400]","REMARKS:교체 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G2300]","CON4: [>1250,<=1500] -> [>900,<=1250] | VAL1: [10311684G2400] -> [10311684G2300]"
133,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, SPEC7, CON7, KEY1, VAL1, REMARKS",,"REMARKS:교체 횡락(RH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=SR] | KEYS:[EL_PA103A03_2=10311684G2400]","SPEC1: [] -> [EL_ATYP] | CON1: [] -> [GTLX_E] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [GH15SA] | SPEC3: [] -> [EL_ERPW] | CON3: [] -> [3] | SPEC4: [] -> [EL_EPP] | CON4: [] -> [>1250,<=1500] | SPEC5: [] -> [EL_DREUSE] | CON5: [] -> [Y] | SPEC6: [] -> [EL_ECWTP] | CON6: [] -> [!R] | SPEC7: [] -> [EL_EMFD] | CON7: [] -> [SR] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [10311684G2400] | REMARKS: [] -> [교체 횡락(RH)]"
134,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, KEY1, VAL1, REMARKS","REMARKS:신규 사선횡락/후락 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH25SC, EL_EPP=>=700,<=1500, EL_DREUSE=N] | KEYS:[EL_PA103A03_2=10311441G0100]",,"SPEC1: [EL_ATYP] -> [] | CON1: [GTLX_E] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [GH25SC] -> [] | SPEC3: [EL_EPP] -> [] | CON3: [>=700,<=1500] -> [] | SPEC4: [EL_DREUSE] -> [] | CON4: [N] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10311441G0100] -> [] | REMARKS: [신규 사선횡락/후락] -> []"
135,수정(MODIFIED),"CON4, SPEC5, CON5, SPEC6, CON6, REMARKS","REMARKS:교체 사선횡락 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH25SC, EL_EPP=>=700,<=1500, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=!90] | KEYS:[EL_PA103A03_2=10311441G0100]","REMARKS:신규 사선횡락/후락 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH25SC, EL_EPP=>=700,<=1500, EL_DREUSE=N] | KEYS:[EL_PA103A03_2=10311441G0100]",CON4: [Y] -> [N] | SPEC5: [EL_ECWTP] -> [] | CON5: [!R] -> [] | SPEC6: [EL_EMFD] -> [] | CON6: [!90] -> [] | REMARKS: [교체 사선횡락] -> [신규 사선횡락/후락]
136,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, KEY1, VAL1, REMARKS",,"REMARKS:교체 사선횡락 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH25SC, EL_EPP=>=700,<=1500, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=!90] | KEYS:[EL_PA103A03_2=10311441G0100]","SPEC1: [] -> [EL_ATYP] | CON1: [] -> [GTLX_E] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [GH25SC] | SPEC3: [] -> [EL_EPP] | CON3: [] -> [>=700,<=1500] | SPEC4: [] -> [EL_DREUSE] | CON4: [] -> [Y] | SPEC5: [] -> [EL_ECWTP] | CON5: [] -> [!R] | SPEC6: [] -> [EL_EMFD] | CON6: [] -> [!90] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [10311441G0100] | REMARKS: [] -> [교체 사선횡락]"
137,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, KEY1, VAL1, REMARKS","REMARKS:교체 후락 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH25SC, EL_EPP=>=700,<=1500, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311441G0200]",,"SPEC1: [EL_ATYP] -> [] | CON1: [GTLX_E] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [GH25SC] -> [] | SPEC3: [EL_EPP] -> [] | CON3: [>=700,<=1500] -> [] | SPEC4: [EL_DREUSE] -> [] | CON4: [Y] -> [] | SPEC5: [EL_ECWTP] -> [] | CON5: [R] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10311441G0200] -> [] | REMARKS: [교체 후락] -> []"
138,수정(MODIFIED),"CON5, SPEC6, CON6","REMARKS:교체 후락 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH25SC, EL_EPP=>=700,<=1500, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311441G0200]","REMARKS:교체 후락 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH25SC, EL_EPP=>=700,<=1500, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311441G0200]",CON5: [!R] -> [R] | SPEC6: [EL_EMFD] -> [] | CON6: [90] -> []
139,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, KEY1, VAL1, REMARKS",,"REMARKS:교체 후락 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH25SC, EL_EPP=>=700,<=1500, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311441G0200]","SPEC1: [] -> [EL_ATYP] | CON1: [] -> [GTLX_E] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [GH25SC] | SPEC3: [] -> [EL_EPP] | CON3: [] -> [>=700,<=1500] | SPEC4: [] -> [EL_DREUSE] | CON4: [] -> [Y] | SPEC5: [] -> [EL_ECWTP] | CON5: [] -> [!R] | SPEC6: [] -> [EL_EMFD] | CON6: [] -> [90] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [10311441G0200] | REMARKS: [] -> [교체 후락]"
141,수정(MODIFIED),"SPEC1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, KEY1, VAL1","SPECS:[EL_ATYP=None, EL_ETM=,?GT17?,?GT25?,?GT35?, EL_EMFD=90, EL_DPO=!(RG), EL_DTMDP=,A,B, EL_EMCBD=!SH] | KEYS:[EL_PA103A03_2=10310380G0100]",,"SPEC1: [EL_ATYP] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [,?GT17?,?GT25?,?GT35?] -> [] | SPEC3: [EL_EMFD] -> [] | CON3: [90] -> [] | SPEC4: [EL_DPO] -> [] | CON4: [!(RG)] -> [] | SPEC5: [EL_DTMDP] -> [] | CON5: [,A,B] -> [] | SPEC6: [EL_EMCBD] -> [] | CON6: [!SH] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10310380G0100] -> []"
