HOGI,MOD_DATE,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BRAND,GISONG,SPEED,CAPA,PLANT,ETHRU,CWT_SAFETY,CWT_BALANCE,CAR_BB,CAR_AA,MATERIAL
N29293L19,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N28969L01,20260901,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MR,GTLX,60,750,KC01,,N,50,1505,1450,CONCRETE (시멘트)
N29314L01,20260828,12011121G020A,BALANCE WEIGHT,"CONCRETE,10kg",8,-,NEX_MR,GTLX,120,1150,KR00,,N,50,1755,1760,CONCRETE (시멘트)
N28327L01,20260902,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1150,KR00,,N,50,1655,1860,CONCRETE (시멘트)
N29003L10,20260901,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,60,900,KC01,,N,50,1405,1750,CONCRETE (시멘트)
N29072L01,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MR,GTLX,60,450,KC01,,N,50,1005,1450,CONCRETE (시멘트)
N29294L22,20260819,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29294L18,20260819,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29294L23,20260819,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29294L15,20260819,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29294L14,20260819,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29294L12,20260819,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
