PID,VERSION,HOUID,NO,ADDR,GOTO,REMARKS,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,SPEC21,CON21,SPEC22,CON22,SPEC23,CON23,SPEC24,CON24,SPEC25,CON25,SPEC26,CON26,SPEC27,CON27,SPEC28,CON28,SPEC29,CON29,SPEC30,CON30,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20
EL_PB121C,28,1292405,40,-,STOP,-,EL_ATYP,?SS?,EL_ACD2,"!(?KS?,?UL?)",EL_ECRL,18,EL_BWALLT,-,EL_ETM,?GY55?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,12110463G1100,DWG_B121C,12110463,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,28,1292405,41,-,STOP,-,EL_ATYP,?SS?,EL_ACD2,?UL?,EL_ECRL,18,EL_BWALLT,-,EL_ETM,?GY55?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,121105167,DWG_B121C,121105167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,28,1292405,42,-,STOP,-,EL_ATYP,?SS?,EL_ACD2,?KS?,EL_ECRL,18,EL_BWALLT,-,EL_ETM,!?GY55?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,12110463G0300,DWG_B121C,12110463,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,28,1292405,43,-,STOP,-,EL_ATYP,?SS?,EL_ACD2,"!(?KS?,?UL?)",EL_ECRL,18,EL_BWALLT,-,EL_ETM,!?GY55?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,12110463G0900,DWG_B121C,12110463,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,28,1292405,44,-,STOP,-,EL_ATYP,?SS?,EL_ACD2,?KS?,EL_ECRL,24,EL_BWALLT,-,EL_ETM,?GY55?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,12110463G0600,DWG_B121C,12110463,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,28,1292405,45,-,STOP,-,EL_ATYP,?SS?,EL_ACD2,"!(?KS?,?UL?)",EL_ECRL,24,EL_BWALLT,-,EL_ETM,?GY55?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,121105169,DWG_B121C,121105169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,28,1292405,46,-,STOP,-,EL_ATYP,?SS?,EL_ACD2,?UL?,EL_ECRL,24,EL_BWALLT,-,EL_ETM,?GY55?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,121105170,DWG_B121C,121105170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,28,1292405,47,-,STOP,-,EL_ATYP,?SS?,EL_ACD2,?KS?,EL_ECRL,24,EL_BWALLT,",T30_SD1,T19_EX1",EL_ETM,!?GY55?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,12110463G0400,DWG_B121C,12110463,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,28,1292405,48,-,STOP,-,EL_ATYP,?SS?,EL_ACD2,"!(?KS?,?UL?)",EL_ECRL,24,EL_BWALLT,",T30_SD1,T19_EX1",EL_ETM,!?GY55?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,121101490,DWG_B121C,121101490,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,29,1294425,1,INIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
