PID,VERSION,HOUID,NO,ADDR,GOTO,REMARKS,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20
EL_PA115A02,56,1300771,32,-,A115A02_2,-,EL_ATYP,"!(?SS?,?SH?)",EL_ECGV,DG200,EL_AMR,!B,EL_ETM,!(?GY?),EL_EMCBD,!SH,EL_ECGS,",N,FL",EL_EHM,-,EL_ECCC,-,EL_ACD2,?KS?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,11500289G0200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,33,-,A115A02_2,-,EL_ATYP,"!(?SS?,?SH?)",EL_ECGV,DG200,EL_AMR,!B,EL_ETM,!(?GY?),EL_EMCBD,!SH,EL_ECGS,",N,FL",EL_EHM,-,EL_ECCC,-,EL_ACD2,!?KS?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115101080,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,34,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,DG200,EL_AMR,!B,EL_ETM,?GY?,EL_EMCBD,-,EL_ECGS,-,EL_EHM,-,EL_ECCC,180,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,11500289G0300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,35,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,DG200,EL_AMR,!B,EL_ETM,?GY?,EL_EMCBD,-,EL_ECGS,-,EL_EHM,-,EL_ECCC,>180,EL_ACD2,?KS?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,11500289G0200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,36,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,DG200,EL_AMR,!B,EL_ETM,?GY?,EL_EMCBD,-,EL_ECGS,-,EL_EHM,-,EL_ECCC,>180,EL_ACD2,!?KS?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115101080,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,37,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,DG200,EL_AMR,!B,EL_ETM,",?GT25?,?GT35?",EL_EMCBD,SH,EL_ECGS,-,EL_EHM,-,EL_ECCC,-,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115C0209G0200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,38,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,DG200,EL_AMR,!B,EL_ETM,",?GT50?,?GT70?,?GT71?",EL_EMCBD,SH,EL_ECGS,-,EL_EHM,-,EL_ECCC,180,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,11510093G0300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,39,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,",DG240,DG240B",EL_AMR,!B,EL_ETM,",?GT25?,?GT35?,?GT50?,?GT70?,?GT71?",EL_EMCBD,!SH,EL_ECGS,",N,FL",EL_EHM,-,EL_ECCC,-,EL_ACD2,!?KS?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,11510017G0200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,40,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,",DG240,DG240B",EL_AMR,!B,EL_ETM,",?GT25?,?GT35?,?GT50?,?GT70?,?GT71?",EL_EMCBD,!SH,EL_ECGS,",N,FL",EL_EHM,-,EL_ECCC,-,EL_ACD2,?KS?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115C0158G0200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,41,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,",DG240,DG240B",EL_AMR,!B,EL_ETM,",?GT25?,?GT35?,?GT50?,?GT70?,?GT71?",EL_EMCBD,!SH,EL_ECGS,MB,EL_EHM,-,EL_ECCC,-,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115C0158G0300,DWG_A115A02_CAR,115C0158G03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,42,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,",DG240,DG240B",EL_AMR,!B,EL_ETM,",?GT25?,?GT35?,?GT50?,?GT70?,?GT71?",EL_EMCBD,!SH,EL_ECGS,HB,EL_EHM,-,EL_ECCC,-,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115C0158G0400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,43,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,",DG240,DG240B",EL_AMR,!B,EL_ETM,",?GT50?,?GT70?,?GT71?",EL_EMCBD,SH,EL_ECGS,-,EL_EHM,-,EL_ECCC,180,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,11510093G0100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,44,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,",DG240,DG240B",EL_AMR,!B,EL_ETM,",?GT25?,?GT35?",EL_EMCBD,SH,EL_ECGS,-,EL_EHM,-,EL_ECCC,-,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115C0209G0100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,45,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,",DG240,DG240B",EL_AMR,!B,EL_ETM,",?GT50?,?GT71?",EL_EMCBD,SH,EL_ECGS,-,EL_EHM,-,EL_ECCC,287,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115C0209G0100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,46,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,DG240,EL_AMR,!B,EL_ETM,?GT70?,EL_EMCBD,SH,EL_ECGS,-,EL_EHM,-,EL_ECCC,287,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115C0158G0500,DWG_A115A02_CAR,115C0158G05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,47,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,DG200,EL_AMR,!B,EL_ETM,",GETM3.5HA,GETM3.5HB,GETM3.5HC",EL_EMCBD,SH,EL_ECGS,-,EL_EHM,-,EL_ECCC,-,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,11500289G0700,DWG_A115A02_CAR,11500289G07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,48,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,DG240,EL_AMR,!B,EL_ETM,",GETM3.5HA,GETM3.5HB,GETM3.5HC",EL_EMCBD,SH,EL_ECGS,-,EL_EHM,-,EL_ECCC,-,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115C0158G0800,DWG_A115A02_CAR,115C0158G08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,49,-,A115A02_2,-,EL_ATYP,?LX?,EL_ECGV,DG240,EL_AMR,!B,EL_ETM,",GETM6.0HA,GETM6.0HB,GETM6.0HC",EL_EMCBD,SH,EL_ECGS,-,EL_EHM,-,EL_ECCC,-,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115C0158G0900,DWG_A115A02_CAR,115C0158G09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PA115A02,56,1300771,50,-,A115A02_2,-,EL_ATYP,-,EL_ECGV,DG240,EL_AMR,-,EL_ETM,?GT100?,EL_EMCBD,SH,EL_ECGS,-,EL_EHM,-,EL_ECCC,-,EL_ACD2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PA115A02_1,115C0158G0500,DWG_A115A02_CAR,115C0158G05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
