PARENTNO,PROD_STATUS,PROD_MODDATE,BRAND,GISONG,EL_ASPD,EL_ACAPA,ASPSCD,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BLOCKNO
N27477L03,RLS,2026-03-13,IXEL,WBHS_(HSVF),180,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
099993L21,RLS,2026-08-11,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
207881L35,RLS,2026-06-15,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
207881L42,RLS,2026-06-19,IXEL,WBHS_(HSVF),240,1150,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208187L06,RLS,2026-07-20,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209051L01,WIP,2026-01-29,IXEL,WBHS_(HSVF),240,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
M21024NC200-M21024L03,RLS,2026-07-24,NOBRAND,WBLX1_(LXVF),120,1150,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211411L08,RLS,2026-09-02,LUXEN_2,WBLX1_(LXVF),180,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211411L02,RLS,2026-09-02,LUXEN_2,WBLX1_(LXVF),180,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209587L24,RLS,2026-08-25,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
N26955L14,RLS,2026-05-27,LUXEN_2,WBLX1_(LXVF),180,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L41,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208877L27,RLS,2026-01-28,LUXEN_2,WBLX1_(LXVF),180,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208852L02,RLS,2026-02-03,IXEL,WBHS_(HSVF),150,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209141L05,RLS,2026-07-01,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
213322L12,RLS,2026-09-02,LUXEN_2,WBLX1_(LXVF),180,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211411L16,RLS,2026-09-03,LUXEN_2,WBLX1_(LXVF),180,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208895L06,RLS,2026-02-02,LUXEN_2,WBLX1_(LXVF),180,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209248L14,RLS,2026-07-08,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211370L38,RLS,2026-03-24,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
212237L40,RLS,2026-01-05,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211370L60,RLS,2026-05-11,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209587L11,RLS,2026-06-24,IXEL,WBHS_(HSVF),210,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209057L06,RLS,2026-01-16,IXEL,WBHS_(HSVF),240,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211370L25,RLS,2026-02-06,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211378L06,RLS,2026-07-09,IXEL,WBHS_(HSVF),240,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209582L04,RLS,2026-05-14,IXEL,WBHS_(HSVF),240,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
099993L05,REJ,2026-04-10,IXEL,WBHS_(HSVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208877L30,RLS,2026-05-20,LUXEN_2,WBLX1_(LXVF),180,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211370L37,RLS,2026-03-24,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L33,RLS,2026-07-20,IXEL,WBHS_(HSVF),210,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
M21024NC200-M21024L05,RLS,2026-07-24,NOBRAND,WBLX1_(LXVF),120,1150,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208895L17,RLS,2026-01-09,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211378L01,RLS,2026-07-09,IXEL,WBHS_(HSVF),240,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
N28107L02,RLS,2026-07-20,LUXEN_2,WBLX1_(LXVF),60,2000,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
207881L17,RLS,2026-07-16,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
191106L02,WIP,2026-03-31,IXEL,WBHS_(HSVF),180,1350,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209587L21,RLS,2026-06-24,IXEL,WBHS_(HSVF),210,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209587L15,RLS,2026-06-24,IXEL,WBHS_(HSVF),240,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
212237L18,WIP,2026-01-05,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211370L14,RLS,2026-01-08,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208895L03,RLS,2026-01-26,LUXEN_2,WBLX1_(LXVF),180,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L19,RLS,2026-07-14,IXEL,WBHS_(HSVF),210,1000,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
N26261L03,RLS,2026-01-08,IXEL,WBHS_(HSVF),210,1150,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210186L06,RLS,2026-07-20,LUXEN_2,WBLX1_(LXVF),180,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L02,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
010708NC242-010708L10,RLS,2026-01-26,NOBRAND,WBLX1_(LXVF),90,2000,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
207881L03,RLS,2026-06-12,IXEL,WBHS_(HSVF),210,1150,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209057L05,RLS,2026-01-16,IXEL,WBHS_(HSVF),240,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
M21024NC200-M21024L07,RLS,2026-07-24,NOBRAND,WBLX1_(LXVF),120,1600,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L05,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210538L16,RLS,2026-07-14,IXEL,WBHS_(HSVF),210,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
