PID,VERSION,NO,ADDR,GOTO,SPEC1,CON1,SPEC2,CON2,KEY1,VAL1,KEY2,VAL2,REMARKS
CAL_NEXBRAND_CMT,129,167,-,-,EL_ABRAND,NEX_MRL,EL_ASPSCD,!KC01,L_CMT,"- CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 치수 [B1]=[B2]=220 으로 적용 제작할 것.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,168,-,-,EL_ABRAND,NEX_MRL,EL_ASPSCD,KC01,L_CMT,"- CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 치수 [B1]=[B2]=220 으로 적용 제작할 것.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",작업요청 02162
CAL_NEXBRAND_CMT,129,169,-,-,EL_ABRAND,NEX_MRL,EL_ASPSCD,!KC01,L_CMT,"- CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 치수 DWG. 32115626 참고",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",NEX MRL DUTY 확장
CAL_NEXBRAND_CMT,129,170,-,-,EL_ABRAND,NEX_MRL,EL_ETM,?GH15S?,L_CMT,"- DWG.32112301G12 참고하여 제작할 것. (TAP PLATE=320, KE=55)",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,171,-,-,EL_ABRAND,NEX_MRL,EL_ETM,?GH15S?,L_CMT,"- DWG.32112301G13 참고하여 제작할 것. (TAP PLATE=320, KE=55)",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,172,-,-,EL_ABRAND,NEX_MRL,EL_ETM,?GH25S?,L_CMT,"- DWG.32112301G14 참고하여 제작할 것. (TAP PLATE=450, KE=55)",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,173,-,-,EL_ABRAND,NEX_MRL,EL_ETM,?GH25S?,L_CMT,"- DWG.32112301G15 참고하여 제작할 것. (TAP PLATE=450, KE=55)",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,174,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,175,-,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_AOPEN,",2SL,2SR",L_CMT,- 측면 보강 따냄 위치 [EE]-151을 [EE]-188 로 변경 적용할 것,NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,176,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,177,NEXT_2,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,178,-,-,EL_ABRAND,?NEX?,EL_BCL,CDS19_1,L_CMT,- FAN LOUVER 조립하여 출하할 것.,NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",작업요청 02792
CAL_NEXBRAND_CMT,129,179,-,-,EL_ABRAND,?NEX?,EL_BCL,CDS19_1,L_CMT,"- FAN BRKT 내측으로 적용
- Fan Hole 내측 적용되므로 구출구 간섭 여부 확인 부탁드립니다.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",작업요청 03369
